Corruption Perceptions Index 2025: Global scores,,,,,,,,,,,,,,,,,,,,,,,,,
EMBARGOED UNTIL 10.02.2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country / Territory,ISO3,Region,CPI 2025 score,Rank,Standard error 2025,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations In Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index,,,,
Mexico,MEX,AME,27,141,1.49,8,25,29,,,30,34,,19,20,,24,37,,25,23,,,,
Cameroon,CMR,SSA,26,142,1.69,9,23,29,34,,30,18,,32,,,24,11,39,27,19,,,,
Guatemala,GTM,AME,26,142,1.13,7,24,28,,,26,18,,32,,,24,27,,27,28,,,,
Guinea,GIN,SSA,26,142,1.60,7,23,29,28,,34,,,32,,,24,16,27,,24,,,,
Kyrgyzstan,KGZ,ECA,26,142,2.09,7,23,29,,,26,,22,19,,,,20,27,42,26,,,,
Nigeria,NGA,SSA,26,142,1.47,10,24,28,31,,34,18,,19,30,,33,11,39,15,26,,,,
Papua New Guinea,PNG,AP,26,142,2.52,6,22,30,,,34,18,,32,,,33,26,15,,,,,,
Madagascar,MDG,SSA,25,148,1.45,7,23,27,28,,30,,,32,,,24,18,27,,18,,,,
Uganda,UGA,SSA,25,148,1.22,8,23,27,28,,26,34,,19,,,24,20,27,,18,,,,
Bangladesh,BGD,AP,24,150,1.50,8,22,26,,,30,18,,19,,,33,13,27,25,24,,,,
Central African Republic,CAF,SSA,24,150,2.09,5,21,27,28,,30,,,19,,,,17,27,,,,,,
Paraguay,PRY,AME,24,150,2.29,7,20,28,,,34,34,,19,,,26,20,,11,26,,,,
Congo,COG,SSA,23,153,1.69,8,20,26,34,,21,18,,19,,,15,18,27,,33,,,,
Eswatini,SWZ,SSA,23,153,4.66,5,15,31,24,,21,,,32,,,,36,3,,,,,,
Iran,IRN,MENA,23,153,2.02,7,20,26,,,13,18,,32,,,22,22,,20,34,,,,
Lebanon,LBN,MENA,23,153,1.69,6,20,26,,,21,18,,19,,,29,18,,,30,,,,
Chad,TCD,SSA,22,157,3.63,6,16,28,28,,17,,,19,,,,10,15,43,,,,,
Honduras,HND,AME,22,157,0.87,8,21,23,,,21,18,,19,,,24,24,27,15,24,,,,
Russia,RUS,ECA,22,157,1.48,7,20,24,,,26,18,14,19,,,24,21,,,31,,,,
Zimbabwe,ZWE,SSA,22,157,0.74,9,21,23,17,,21,18,,19,,,24,19,27,27,24,,,,
Guinea Bissau,GNB,SSA,21,161,4.30,6,14,28,10,,30,,,19,,,42,20,3,,,,,,
Mozambique,MOZ,SSA,21,161,1.80,9,18,24,10,,26,18,,19,,,42,25,15,13,22,,,,
Cambodia,KHM,AP,20,163,3.04,7,15,25,,,8,18,,32,,40,,14,15,,14,,,,
Comoros,COM,SSA,20,163,8.21,4,7,33,0,,,,,46,,,,18,15,,,,,,
Democratic Republic of the Congo,COD,SSA,20,163,1.21,9,18,22,31,,21,18,,19,,,24,12,27,14,15,,,,
Tajikistan,TJK,ECA,19,166,1.78,5,16,22,,,17,,14,19,,,,17,27,,,,,,
Burundi,BDI,SSA,17,167,3.39,5,11,23,28,,13,,,19,,,,22,3,,,,,,
Turkmenistan,TKM,ECA,17,167,0.81,5,16,18,,,17,18,14,19,,,,14,,,,,,,
Afghanistan,AFG,AP,16,169,4.23,5,9,23,,,26,,,6,,,,29,3,,16,,,,
Haiti,HTI,AME,16,169,2.17,6,12,20,,,17,,,19,,,15,22,3,,21,,,,
Myanmar,MMR,AP,16,169,1.92,7,13,19,,,8,18,,19,,,24,18,3,,19,,,,
Equatorial Guinea,GNQ,SSA,15,172,2.46,5,11,19,3,,17,18,,19,,,,18,,,,,,,
"Korea, North",PRK,AP,15,172,4.13,4,8,22,,,13,,,6,,,15,29,,,,,,,
Syria,SYR,MENA,15,172,2.52,5,11,19,,,13,18,,6,,,15,24,,,,,,,
Nicaragua,NIC,AME,14,175,1.47,7,12,16,,,17,18,,19,,,15,11,3,,15,,,,
Sudan,SDN,SSA,14,175,1.94,8,11,17,17,,8,18,,19,,,6,20,0,,24,,,,
Eritrea,ERI,SSA,13,177,5.35,5,4,22,0,,8,,,32,,,,24,0,,,,,,
Libya,LBY,MENA,13,177,2.64,6,9,17,0,,21,18,,6,,,15,19,,,,,,,
Yemen,YEM,MENA,13,177,1.83,7,10,16,,,13,18,,6,,,15,13,3,23,,,,,
Venezuela,VEN,AME,10,180,1.01,8,8,12,,,8,18,,6,15,,6,9,,8,8,,,,
Somalia,SOM,SSA,9,181,2.26,6,5,13,0,,8,,,19,,,6,15,3,,,,,,
South Sudan,SSD,SSA,9,181,2.56,5,5,13,7,,13,,,6,,,,18,0,,,,,,
